Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,5102023_All_QC_003,5102023_All_QC_040,5102023_BLD_1_022,5102023_BLD_2_023,5102023_BLD_QC_021,5102023_GER_1_032,5102023_GER_2_033,5102023_GER_3_034,5102023_GER_4_035,5102023_GER_5_036,5102023_GER_6_037,5102023_GER_QC_031,5102023_IPA_1_012,5102023_IPA_2_013,5102023_IPA_QC_011,5102023_SOU_1_017,5102023_SOU_2_018,5102023_SOU_QC_016,5102023_STU_1_007,5102023_STU_2_008,5102023_STU_QC_006,5102023_WHE_1_027,5102023_WHE_2_028,5102023_WHE_QC_026,582023_All_QC_003,582023_BLD_1_022,582023_BLD_2_023,582023_BLD_QC_021,582023_GER_1_032,582023_GER_2_033,582023_GER_3_034,582023_GER_4_035,582023_GER_5_036,582023_GER_6_037,582023_GER_QC_031,582023_IPA_1_012,582023_IPA_2_013,582023_IPA_QC_011,582023_SOU_1_017,582023_SOU_2_018,582023_SOU_QC_016,582023_STU_1_007,582023_STU_2_008,582023_STU_QC_006,582023_WHE_1_027,582023_WHE_2_028,582023_WHE_QC_026,592023_All_QC_003,592023_All_QC_040,592023_BLD_1_022,592023_BLD_2_023,592023_BLD_QC_021,592023_GER_1_032,592023_GER_2_033,592023_GER_3_034,592023_GER_4_035,592023_GER_5_036,592023_GER_6_037,592023_GER_QC_031,592023_IPA_1_012,592023_IPA_2_013,592023_IPA_QC_011,592023_SOU_1_017,592023_SOU_2_018,592023_SOU_QC_016,592023_STU_1_007,592023_STU_2_008,592023_STU_QC_006,592023_WHE_1_027,592023_WHE_2_028,592023_WHE_QC_026,1,2,3,4,5,6,7,1,2,3,4,5,6,7
0,9.128,61.98714,Unknown,[M-H]-,null,0.04,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,0,0,0,null,null,null,null,null,null,null,10062.94,582023_WHE_2_028,61.98681:17778,61.98725:12987,1206145,892381,967402,984546,986604,959579,959907,932237,945783,926200,977770,985044,1124675,1104639,1045274,987025,958586,1003052,1120168,1072456,1120065,901893,926804,943182,596712,1040393,1017872,566012,560580,1315544,778288,526408,690239,717013,723419,665851,705265,607099,1089673,508714,617354,494855,479734,795268,763239,1285731,510713,948264,815296,864993,839505,870435,845362,881088,835363,848659,811231,799982,860072,947275,897181,969392,867985,919867,902563,958806,926734,964519,823458,817188,831937,891759.5224,904195.66,851417.5168,896294.596,872757.7017,881400.4911,867127.2717,220755.2814,145749.9241,166619.7407,193304.5618,188859.0077,245865.9799,202869.0161
1,9.229,61.98715,Unknown,[M-H]-,null,0.04,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,1,0,0,null,null,null,null,null,null,null,16040.1,582023_BLD_2_023,61.98709:20919 62.01319:268 62.02395:173,61.98697:14760 66.00807:806,1274830,945133,1039500,1056546,1059673,1021407,1020772,996653,1013396,994965,1031576,1042493,1198700,1169967,1116055,1056375,1022893,1082782,1201215,1135255,1193576,964217,988263,1012683,630897,599770,1688847,590846,690906,630312,1404195,652518,1071317,1130663,1759020,701343,732781,634594,631388,535228,642050,515473,507948,1603785,1689485,689037,533007,1003984,868873,918753,896373,931668,897568,935073,889794,889803,865413,855774,918279,994958,953930,1025675,920298,970243,966268,1028653,991006,1022076,872604,858183,886660,944743.3294,975775.0326,986280.8508,947555.8541,869725.082,1022109.597,943793.0868,232767.211,321548.3017,244861.3769,210361.7512,208027.28,341811.3661,318689.6352
2,9.533,61.98759,Unknown,[M-H]-,null,0.31,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,2,0,0,null,null,null,null,null,null,null,24238.11,5102023_IPA_1_012,61.98756:35013 62.01381:469 62.02000:163 62.02448:382 62.03737:357 62.04211:214,61.98748:27729 66.00864:644,2207415,1688109,3407085,3539493,1855423,1804752,1791092,1770235,1830673,1808963,1787425,1816667,4088947,2017309,2033520,1928569,1818651,1926849,2123569,2026747,2135338,1737439,1714652,3337258,1928447,798469,514801,2090418,1760408,733202,2024972,520877,834293,530566,668110,2554535,2359581,2091972,466169,935851,2089580,1506493,901814,2307608,651728,693244,916277,1781785,1517682,1636243,3090038,3060160,1579265,1570450,1580817,1567548,1560065,1540818,3044970,1721776,1677062,3393456,1608449,3458278,1702791,3403004,1746892,1842175,1530622,1485663,1551082,1824687.713,2221347.656,1529817.469,2437573.2,1770576.369,1999293.271,1513107.185,260764.8476,1119820.544,591577.6307,807045.0034,823932.5499,674154.4129,805553.4653
3,9.635,61.98781,Unknown,[M-H]-,null,0.62,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,3,0,0,null,null,null,null,null,null,null,29349.53,5102023_All_QC_003,61.98758:41531 62.01337:588 62.02506:284 62.03015:199 62.03860:400,61.98771:27890 62.01368:567 66.00900:695,4359182,3208560,1738776,1735118,3381080,3460201,3108538,3469225,3209343,3450384,3779666,3434468,1909025,4002095,3912849,3661098,3265782,3406098,4189862,3841211,3980531,3324015,3261347,1631589,1013278,909598,433959,929337,575667,496075,561505,1887960,506842,733082,504352,1105262,1111706,975013,510442,1851588,937164,820207,1538735,776018,486524,531758,2001195,3367829,2781873,2824378,1481332,1538552,3057436,2782900,3015688,3160128,2804266,2867769,1499211,3126961,3175646,1610618,2999555,1560638,3324136,1699402,3100788,3425686,2835754,2986838,2890867,2946144.504,1663569.991,2303081.202,2325463.976,2390722.346,2596937.875,2216654.082,1225388.991,933839.3454,1236625.504,1233203.695,1187460.563,1384671.645,1116334.029
4,9.635,68.99432,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,4,0,0,null,null,null,null,null,null,null,23186.81,582023_All_QC_003,68.99432:46073 69.02161:561 69.05321:182 69.99762:476,61.98733:15804,177840,135325,449647,225435,146978,141667,218380,425744,216879,343215,133707,146008,175442,267724,450711,162146,235776,153688,564163,355838,791038,144893,427616,143480,4441401,648896,548247,527921,538850,434342,563986,450951,455361,543062,363901,1330356,1021561,737602,489790,521761,692274,1343037,1356024,1592980,618814,604589,491030,1018420,244237,761029,1207685,482089,516599,343986,337405,404310,326709,651552,261288,604229,496374,731549,299528,308400,197008,765707,1033615,654969,342958,168233,360477,1203444.672,555325.121,372281.105,646172.1091,340041.4262,939707.8161,366898.9347,1846037.629,310151.2482,148285.6925,362609.7333,187036.4877,416378.6586,186526.8249
5,9.533,68.99453,Unknown,[M-H]-,null,0.04,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,5,0,0,null,null,null,null,null,null,null,12522.65,582023_STU_QC_006,68.99431:29036 69.02186:384,61.98730:17583,269556,478907,727863,150396,148355,142763,596198,419110,145275,343215,204151,221821,176858,178158,543416,245594,319784,231446,283691,450909,1263950,218421,561154,143848,2298932,666736,670427,650711,564142,533976,585613,973166,557858,563490,458523,2416914,1123688,775919,593656,637256,726434,2553095,2587462,3226243,631986,622246,599105,1459693,161888,1201970,864800,1216048,754131,436212,428278,571525,412786,957593,173866,604229,1279252,1481436,974563,1012738,298037,1631929,1424326,1449777,433742,254985,832748,933795.0506,699700.5537,478271.0126,953318.9509,559945.2559,1652375.672,477581.626,919802.4231,380296.2601,234166.4284,714265.3217,305115.4733,982592.6083,229858.0528
6,5.781,68.99475,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6,0,0,null,null,null,null,null,null,null,23202.56,592023_IPA_1_012,68.99475:34006 69.02225:528 69.99948:604,61.98750:7236,1036610,539238,923668,4340521,610422,425015,282720,813335,1451458,965233,1228181,851980,1050501,995494,328905,1616609,933061,930071,314524,504288,690182,931924,935086,938498,1800262,884013,951882,876305,787708,738996,761833,730497,757276,746402,833080,345844,1021431,959274,916165,908197,904851,922353,743900,566484,860235,861896,886973,1396234,1059043,2074683,1251404,1190013,1298789,1078926,1064830,1060427,3695370,1229544,1138959,8270506,413674,1425064,1198596,1215166,1199457,1351521,1402140,1478993,1331621,1263554,1259950,1166277.331,1455879.007,1044788.574,1645632.525,1091352.517,886042.7556,1029970.719,468056.6175,1158208.236,668985.3472,2512869.91,240961.3923,428513.1788,194594.2262
7,6.389,68.99487,Unknown,[M-H]-,null,0.11,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,7,0,0,null,null,null,null,null,null,null,17564.18,592023_GER_1_032,68.99487:35915 69.02235:653 69.03055:223 69.05543:275 71.01573:343,61.98763:11287,1004434,732492,862115,829040,885109,803187,791266,1351935,780330,759473,751432,801062,1797774,1761170,926065,857961,894598,1562176,1584327,1865456,1040415,926411,880310,891082,576783,5306331,932604,4465396,1437854,1348769,1376177,1362575,792588,1384965,5238951,2748640,6550191,991604,1630072,4900704,4958125,991817,728960,1475626,1559221,913543,1625716,1423657,965345,1131320,1145624,1091548,3827528,990857,994938,957228,1317956,961545,1042197,1158448,1973888,1324590,1148419,1204017,1151604,1267077,1357350,1384617,1773338,1248200,1255533,940542.292,1849898.481,1384419.678,2136930.017,2034186.186,1299515.997,1230372.791,321598.7212,1738006.188,1099039.278,1751040.801,1661600.51,341212.1465,351894
8,6.288,68.99487,Unknown,[M-H]-,null,0.14,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,8,0,0,null,null,null,null,null,null,null,18133.49,592023_WHE_1_027,68.99487:38369 69.02221:653 69.03412:311 69.04727:474 69.05343:191 69.99701:317 71.01259:613,61.98755:12053,1033505,902671,891862,863771,1562338,829997,1391441,4769741,808557,779471,777440,837960,6540723,6230260,1463744,892349,934228,5262204,3162456,4379342,1077692,1636671,916569,1596571,380557,1632805,1649223,1657363,4496555,4197344,4633532,4705038,818495,4454434,1519530,1761106,1870361,1738530,5032868,1751154,1691566,1023356,748635,733690,5095231,1592473,5634825,2510583,1013670,1179699,1207149,1146519,1533443,1034817,1035467,997449,3182689,1352998,1092590,1200119,3882494,1385158,1201394,2148774,1202875,1333221,1412051,2490792,8147439,1301489,2236854,1168197.167,1310081.001,2154713.776,2896943.925,2235268.048,1817914.891,3128680.203,796068.5013,322461.8067,1633287.964,2129088.093,1701368.448,1260916.118,2532213.179
9,5.984,68.99488,Unknown,[M-H]-,null,0.06,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,9,0,0,null,null,null,null,null,null,null,22490,592023_STU_1_007,68.99482:39297 69.02234:561 69.03436:342 69.04077:155 69.04684:243 69.05312:283 69.99739:364 71.01364:1159,61.98775:10853,6367897,3240162,1560616,4343844,931052,1299677,425500,828209,857539,1230465,1364037,1485799,1076094,1050415,330971,1620701,1642391,954282,639743,875337,1048982,965918,5380666,967350,565951,929807,999286,926579,839513,768486,812752,775338,1369959,786344,861156,522717,1066674,999674,972271,968414,955458,1722601,1296169,285605,913339,919978,928840,1483613,1817765,2098865,6839944,7556712,1137097,1840812,1811172,4959306,351553,353743,1954338,1261055,411826,2458992,2106432,1271696,2127066,7402336,2461520,1529424,4510074,2253960,1323938,2695077.649,2909633.754,1243466.45,1019824.318,1402078.892,1917968.658,2018229.207,2267003.489,2669111.904,970101.8708,635157.0645,489522.3121,2153200.99,1727653.519
